Date,Symbol,Class Symbol,Root Symbol,Underlying Symbol,Strike Price,Expiry Date,Call/Put,Ins. Type,Bid Price,Ask Price,Bid Size,Ask Size,Last Price,Volume,Last Close Price,Net Change,Open Price,High Price,Low Price,Total Value,Nb. Trades,Settlement Price,Open Interest,Implied Volatility,Accrued Financing Value,Accrued Financing Date,CORRA Rate,symbol,source_file
2021-02-10,CRAU23,CRA,CRA,CRA,0,2023-12-20,0,1,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,99.59,0,0,0,,0,cra,quote_CRA_20201201_20210531.csv
2021-02-11,CRAZ20,CRA,CRA,CRA,0,2021-03-17,0,1,99.8,99.815,300,300,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,99.815,2304,0,0,,0,cra,quote_CRA_20201201_20210531.csv
2021-02-11,CRAH21,CRA,CRA,CRA,0,2021-06-16,0,1,99.78,99.79,300,100,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,99.79,5547,0,0,,0,cra,quote_CRA_20201201_20210531.csv
2021-02-11,CRAM21,CRA,CRA,CRA,0,2021-09-15,0,1,99.775,99.785,300,200,0.0,1,0.0,0.01,99.785,99.785,99.785,0,1,99.775,593,0,0,,0,cra,quote_CRA_20201201_20210531.csv
2021-02-11,CRAU21,CRA,CRA,CRA,0,2021-12-15,0,1,99.77,99.785,300,300,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,99.77,261,0,0,,0,cra,quote_CRA_20201201_20210531.csv
2021-02-11,CRAZ21,CRA,CRA,CRA,0,2022-03-16,0,1,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,99.77,150,0,0,,0,cra,quote_CRA_20201201_20210531.csv
2021-02-11,CRAH22,CRA,CRA,CRA,0,2022-06-15,0,1,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,99.755,0,0,0,,0,cra,quote_CRA_20201201_20210531.csv
2021-02-11,CRAM22,CRA,CRA,CRA,0,2022-09-21,0,1,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,99.72,0,0,0,,0,cra,quote_CRA_20201201_20210531.csv
2021-02-11,CRAU22,CRA,CRA,CRA,0,2022-12-21,0,1,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,99.7,0,0,0,,0,cra,quote_CRA_20201201_20210531.csv
2021-02-11,CRAZ22,CRA,CRA,CRA,0,2023-03-15,0,1,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,99.68,0,0,0,,0,cra,quote_CRA_20201201_20210531.csv
2021-02-11,CRAH23,CRA,CRA,CRA,0,2023-06-21,0,1,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,99.65,0,0,0,,0,cra,quote_CRA_20201201_20210531.csv
2021-02-11,CRAM23,CRA,CRA,CRA,0,2023-09-20,0,1,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,99.62,0,0,0,,0,cra,quote_CRA_20201201_20210531.csv
2021-02-11,CRAU23,CRA,CRA,CRA,0,2023-12-20,0,1,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,99.59,0,0,0,,0,cra,quote_CRA_20201201_20210531.csv
2021-02-12,CRAZ20,CRA,CRA,CRA,0,2021-03-17,0,1,99.8,99.815,200,200,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,99.815,2304,0,0,,0,cra,quote_CRA_20201201_20210531.csv
2021-02-12,CRAH21,CRA,CRA,CRA,0,2021-06-16,0,1,99.78,99.795,305,205,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,99.79,5547,0,0,,0,cra,quote_CRA_20201201_20210531.csv
2021-02-12,CRAM21,CRA,CRA,CRA,0,2021-09-15,0,1,99.765,99.78,205,305,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,99.775,593,0,0,,0,cra,quote_CRA_20201201_20210531.csv
2021-02-12,CRAU21,CRA,CRA,CRA,0,2021-12-15,0,1,99.765,99.775,200,205,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,99.77,261,0,0,,0,cra,quote_CRA_20201201_20210531.csv
2021-02-12,CRAZ21,CRA,CRA,CRA,0,2022-03-16,0,1,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,99.77,150,0,0,,0,cra,quote_CRA_20201201_20210531.csv
2021-02-12,CRAH22,CRA,CRA,CRA,0,2022-06-15,0,1,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,99.755,0,0,0,,0,cra,quote_CRA_20201201_20210531.csv
2021-02-12,CRAM22,CRA,CRA,CRA,0,2022-09-21,0,1,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,99.72,0,0,0,,0,cra,quote_CRA_20201201_20210531.csv
2021-02-12,CRAU22,CRA,CRA,CRA,0,2022-12-21,0,1,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,99.7,0,0,0,,0,cra,quote_CRA_20201201_20210531.csv
2021-02-12,CRAZ22,CRA,CRA,CRA,0,2023-03-15,0,1,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,99.68,0,0,0,,0,cra,quote_CRA_20201201_20210531.csv
2021-02-12,CRAH23,CRA,CRA,CRA,0,2023-06-21,0,1,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,99.65,0,0,0,,0,cra,quote_CRA_20201201_20210531.csv
2021-02-12,CRAM23,CRA,CRA,CRA,0,2023-09-20,0,1,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,99.62,0,0,0,,0,cra,quote_CRA_20201201_20210531.csv
2021-02-12,CRAU23,CRA,CRA,CRA,0,2023-12-20,0,1,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,99.59,0,0,0,,0,cra,quote_CRA_20201201_20210531.csv
2021-02-16,CRAZ20,CRA,CRA,CRA,0,2021-03-17,0,1,99.8,99.815,100,100,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,99.815,2304,0,0,,0,cra,quote_CRA_20201201_20210531.csv
2021-02-16,CRAH21,CRA,CRA,CRA,0,2021-06-16,0,1,99.77,99.785,100,100,0.0,100,0.0,-0.005,99.785,99.785,99.785,0,1,99.785,5547,0,0,,0,cra,quote_CRA_20201201_20210531.csv
2021-02-16,CRAM21,CRA,CRA,CRA,0,2021-09-15,0,1,99.765,99.775,5,200,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,99.77,593,0,0,,0,cra,quote_CRA_20201201_20210531.csv
2021-02-16,CRAU21,CRA,CRA,CRA,0,2021-12-15,0,1,99.755,99.77,200,100,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,99.765,261,0,0,,0,cra,quote_CRA_20201201_20210531.csv
2021-02-16,CRAZ21,CRA,CRA,CRA,0,2022-03-16,0,1,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,99.765,150,0,0,,0,cra,quote_CRA_20201201_20210531.csv
2021-02-16,CRAH22,CRA,CRA,CRA,0,2022-06-15,0,1,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,99.75,0,0,0,,0,cra,quote_CRA_20201201_20210531.csv
2021-02-16,CRAM22,CRA,CRA,CRA,0,2022-09-21,0,1,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,99.715,0,0,0,,0,cra,quote_CRA_20201201_20210531.csv
2021-02-16,CRAU22,CRA,CRA,CRA,0,2022-12-21,0,1,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,99.695,0,0,0,,0,cra,quote_CRA_20201201_20210531.csv
2021-02-16,CRAZ22,CRA,CRA,CRA,0,2023-03-15,0,1,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,99.675,0,0,0,,0,cra,quote_CRA_20201201_20210531.csv
2021-02-16,CRAH23,CRA,CRA,CRA,0,2023-06-21,0,1,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,99.645,0,0,0,,0,cra,quote_CRA_20201201_20210531.csv
2021-02-16,CRAM23,CRA,CRA,CRA,0,2023-09-20,0,1,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,99.615,0,0,0,,0,cra,quote_CRA_20201201_20210531.csv
2021-02-16,CRAU23,CRA,CRA,CRA,0,2023-12-20,0,1,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,99.585,0,0,0,,0,cra,quote_CRA_20201201_20210531.csv
